Name,Barangay,Category,Subcategory
"DNS SHUTTLE SERVICE, INC.",Pulo,Transportation and Logistics,Shuttle Services / Transport Services
MS ELLA COLLECTION FASHION BOUTIQUE,Pulo,Retail Stores,Clothing and Apparel
SERAFIN BUSINESS CENTER,Banlic,Construction and Real Estate,Lessor (Commercial Space)
MARCSIL COMMERCIAL CENTER,Banlic,Construction and Real Estate,Lessor (Commercial Space)
"ENTREPRENEUR RURAL BANK, INC.",Poblacion Uno,Finance and Insurance,Banks
EL SOL  REALTY & DEVT. CORPORATION,Poblacion Tres,Construction and Real Estate,Memorial Park
LCSP PROPERTY LEASING,Pulo,Construction and Real Estate,Lessor (Commercial Space)
CHRISTIAN HERITAGE ENTERPRISE,Banaybanay,Professional Services,Contracting and Manpower Services
MHOLLY MACHINE SHOP & ENGINE REBUILDER,Sala,Manufacturing and Production,Machine Fabrication and Shop
EMJ CALIBRATION SERVICES,Banlic,Automotive Services,Auto Repair Services
EMPLEO COMMERCIAL UNIT RENTAL,Marinig,Construction and Real Estate,Lessor (Commercial Space)
MARYLAND PHARMACY AND GENERAL MERCHANDISE,Marinig,Healthcare Services,Pharmacies
"ESL - EXCELLENT & SMART LEARNING INSTITUTE,  INC.",San Isidro,Educational Services,Learning Center
DONESA PHARMACY AND GENERAL MERCHANDISE,San Isidro,Healthcare Services,Pharmacies
BCB MARKETING AND DEVELOPMENT CORP. (PHOENIX PETROLEUM),Banlic,Automotive Services,Fuel Services
"EMMANUELS` CHRISTIAN SCHOOL OF CABUYAO LAGUNA, INC.",Marinig,Educational Services,Private School
EPZONE INDUSTRIAL ENTERPRISES INC.,Sala,Construction and Real Estate,Construction Services
EMKAR REALTY,Pulo,Construction and Real Estate,Realty
ROSERIC LPG CENTER,Marinig,Retail Stores,Fuel and Energy Supplies
COPYPROCESS PHOTOCOPYING SERVICES,Pulo,Creative and Media Services,Photography and Videography
EVERFIRST LOANS CORP.,Banlic,Finance and Insurance,Lending Investor
ERIC LPG TRADING,Banaybanay,Retail Stores,Fuel and Energy Supplies
DAVID BRAINELL TRANSPORT SERVICES,Marinig,Transportation and Logistics,Trucking / Transport Services
RMESONS REAL PROPERTY LEASING,Sala,Construction and Real Estate,Lessor (Commercial Space)
MARGIE`S MEAT SHOP,Banlic,Retail Stores,Food and Beverage
MARIBETH ELIVERA BUILDING,Banlic,Construction and Real Estate,Lessor (Commercial Space)
JEFF SHE JEKS TRAVEL SERVICES,Poblacion Dos,Tourism and Hospitality,Travel Agency
E.V. PEÑA ENTERPRISES INC.,Pulo,Transportation and Logistics,Trucking / Transport Services
EBITNER MEATSHOP,Marinig,Retail Stores,Food and Beverage
"EMMANUELS` CHRISTIAN SCHOOL OF CABUYAO LAGUNA, INC.",Gulod,Educational Services,Private School
EASYFOOD RESTAURANTS CORP.,Banaybanay,Food Services,Restaurant
PABRIEL CONSTRUCTION,Banaybanay,Construction and Real Estate,Service Contractor
EMMANUEL TRUCKING SERVICES,Pulo,Transportation and Logistics,Trucking / Transport Services
ABE BILLS PAYMENT AND REMITTANCE CENTER,Mamatid,Finance and Insurance,Money Remittance / Bills Payment
EDL ENERGY SAVER TRADING AND SERVICES CORPORATION,Butong,Professional Services,Contracting and Manpower Services
R.ESPACIO PACKAGING SUPPLIES TRADING,Pulo,Retail Stores,Specialty Stores
C.R. ENDENCIA TRUCKING SERVICES,Pulo,Transportation and Logistics,Trucking / Transport Services
AEROMATT ENTERPRISES,Sala,Retail Stores,Household Supplies
ROSERIC LPG CENTER,Bigaa,Retail Stores,Fuel and Energy Supplies
ERESPE PHARMA CORPORATION,Sala,Healthcare Services,Pharmacies
E&J FOOD OPC (THE BROTHERS UNLI WINGS),Pulo,Food Services,Restaurant
MADE TO WASH LAUNDRY SHOP,Banlic,Personal and Household Services,Laundry Shops
FORESIGHT REALTY & DEV`T. CORP.,Diezmo,Construction and Real Estate,Lessor (Commercial Space)
ROSE PRINCESS HOME,Pulo,Healthcare Services,Gerontology Services
SALVADOR FERRARO VEGETABLE STORE,Banlic,Retail Stores,Food and Beverage
G.G. FLORES FISH STALL,Banlic,Retail Stores,Food and Beverage
FORTUNATE CREDIT & LOANS CORP.,Poblacion Tres,Finance and Insurance,Lending Investor
"FORTUNE ROYAL GAS SERVICE, INC.",Pulo,Retail Stores,Fuel and Energy Supplies
FORAB II DEVELOPMENT CORP.,Niugan,Construction and Real Estate,Lessor (Commercial Space)
FORTUNE CHICKEN GROWING CORPORATION,Sala,Manufacturing and Production,Agricultural Products
THE GENERICS PHARMACY,Baclaran,Healthcare Services,Pharmacies
THE GENERICS PHARMACY,Mamatid,Healthcare Services,Pharmacies
THE GENERICS PHARMACY,Mamatid,Healthcare Services,Pharmacies
FASTECH EMPLOYEES MULTIPURPOSE COOPERATIVE (FEMCO),Diezmo,Cooperative Business,Cooperative
MYLENE AND BENJIE FISH STALL,Poblacion Dos,Retail Stores,Food and Beverage
TAPSISTERS SINANGAG EXPRESS,Banaybanay,Food Services,Food Stand
FUNHOUSE CORPORATION,Banlic,Entertainment and Recreation,Play Center
SALVACION FLORES YAKULT` BEVERAGE TRADING,Banaybanay,Retail Stores,General Merchandise
FAJIE`S FOODHOUSE,Pulo,Food Services,Food Stand
SKYLIQUID INDUSTRIAL GAS TRADING,Sala,Retail Stores,General Merchandise
NPF ENTERPRISES,Banaybanay,Retail Stores,Hardware and Construction Supplies
FAMSI INTEGRATED SVCS INC.,Banaybanay,Personal and Household Services,Janitorial Services
DANFA GLASS AND ALUMINUM SERVICES,Bigaa,Manufacturing and Production,Glass & Aluminum Fabrication Services
"FCM CO.,LTD.- PHILIPPINE REPRESENTATIVE OFFICE",Pulo,Professional Services,Administrative Office Services
RNBF ELECTRICAL INSTALLATION SERVICES,Pulo,Professional Services,Contracting and Manpower Services
ARR TRADERS.COM ELECTRIC POWER GENERATION SERVICES,Pittland,Retail Stores,General Merchandise
ELEGANCE OPTICAL CLINIC,Poblacion Uno,Healthcare Services,Optical Clinics
FAR-ED MEAT SHOP,Pulo,Retail Stores,Food and Beverage
ROAD SCAPE MOTOR PARTS SUPPLY,Mamatid,Retail Stores,Vehicle and Parts Supplies
SIDECAR TRADING ORLLY`S,Mamatid,Automotive Services,Body and Welding Shops
GIWU PHARMACY,Mamatid,Healthcare Services,Pharmacies
MEL-BRY FOOD AND BEVERAGE KIOSK (KKOPI TEA),Banlic,Food Services,Milk Tea Shop
FRANCISCO PATISSERIE CORP. (JULIE`S BAKESHOP),Banlic,Retail Stores,Food and Beverage
RAMON FONTANILLA PROCESSED FOODS MANUFACTURING,Mamatid,Manufacturing and Production,Food Products Manufacturer
JOSEPH EN JENN`S CATERING SERVICE,Butong,Food Services,Catering Service
MIKE DACILLO FEBRE VULCANIZING SHOP,Pulo,Automotive Services,Vulcanizing Services
A.M. PHARMAGEN HEALTH CARE PRODUCTS TRADING,Marinig,Healthcare Services,Pharmacies
"GRAND PROGRESSIVE MFG., INC.",Pulo,Manufacturing and Production,Specialty Manufacturing
"GEL PACIFIC, INC.",Pittland,Manufacturing and Production,Essential Manufacturer
MMG`S TRADING,Sala,Retail Stores,School and Office Supplies
SUNDREL SPACE RENTAL AND BUSINESS CENTER,Sala,Construction and Real Estate,Lessor (Commercial Space)
GELVERO MOTORWORKS,Pulo,Automotive Services,Specialized Automotive Services
"LADY OF ROSE ACADEMY, INC.",Sala,Educational Services,Private School
SON-SHINE GLASS & ALUMINUM FABRICATION,Sala,Manufacturing and Production,Glass & Aluminum Fabrication Services
SAN`S BAKESHOP,Banaybanay,Retail Stores,Food and Beverage
C.E. GARCIA TRADING,Poblacion Dos,Retail Stores,Specialty Stores
RAMILO`S ELECTRO-MECHANICAL SERVICES,Mamatid,Automotive Services,Auto Repair Services
WARDZ GENERAL MERCHANDISE,Mamatid,Retail Stores,General Merchandise
M.H.GARCIA BUILDING,Banlic,Construction and Real Estate,Lessor (Commercial Space)
GOLDEN HAND LABOR SERVICE COOPERATIVE,Sala,Cooperative Business,Cooperative
MKG ENTERPRISES,Mamatid,Wholesale and Distribution,Junk Shops
C.B. GUILLERMO ENTERPRISE,Poblacion Dos,Retail Stores,Food and Beverage
CHECKSTOP AUTOMOTIVE CARE SERVICES,Sala,Automotive Services,Car Wash and Detailing
RRGTECH SOLUTION,Mamatid,Retail Stores,General Merchandise
GUSTILO ORTHOPAEDIC RESEARCH INC.,Diezmo,Healthcare Services,Service Contractor
"GLOBE TELECOM, INC. (BACLARAN)",Baclaran,IT and Digital Services,Telecom Services
CCG BIKESHOP,Banlic,Retail Stores,Vehicle and Parts Supplies
CMGB SARI SARI STORE,Mamatid,Retail Stores,Sari-sari store
ELLTI ENTERPRISES,San Isidro,Professional Services,Contracting and Manpower Services
GOLDEN DRAGON MOTORSALES CORP. (SUPER BIKES CENTER),Pulo,Retail Stores,General Merchandise
TERESITA GARCIA FLOWERS AND GIFT SHOP,Pulo,Retail Stores,Specialty Stores
GRL GENERIC DRUG AND GENERAL MERCHANDISE COMPANY,Poblacion Dos,Healthcare Services,Pharmacies
RASMIA A. GAMI STORE,Poblacion Dos,Retail Stores,General Merchandise
ICED DESIGN AND PRINTS,Banaybanay,Creative and Media Services,Printing Services
EMPOWER WATER REFILLING STATION,Baclaran,Retail Stores,Water Supply
GERRY AND LUCY ENTERPRISES,Pulo,Retail Stores,Food and Beverage
INFINITY BIOMEDICAL ENTERPRISE,Marinig,Healthcare Services,Laboratory Equipment Repair Service
F.P. GIRAY CONSTRUCTION & DEVELOPMENT SERVICES,Banaybanay,Construction and Real Estate,Construction Services
JEREM ELECTRO-MECHANICAL SERVICES,Banaybanay,Personal and Household Services,Service Contractor
4M SCRAP MATERIALS TRADING,Baclaran,Wholesale and Distribution,Recycle Materials
GREEN FARMS ANSHIN PHILIPPINES INC.,Pulo,Professional Services,Administrative Office Services
GEOFUEL CORPORATION,Pulo,Automotive Services,Fuel Services
ZEDRIC JANBON LOADING STATION,Mamatid,Retail Stores,Electronics and Gadgets
JOEL GARCIA BUILDING,Sala,Construction and Real Estate,Lessor (Commercial Space)
"GOLDILOCKS BAKE SHOP, INC.",Poblacion Dos,Retail Stores,Food and Beverage
"GREENTELCOMMUNICATIONS TRADING, INC. (VIVO)",Banlic,Wholesale and Distribution,Electronics Products
"GREENTELCOMMUNICATIONS TRADING, INC. (SAMSUNG)",Banlic,Wholesale and Distribution,Electronics Products
GRANDWAY INDUSTRIAL MANUFACTURING CORP.,Diezmo,Manufacturing and Production,PEZA Registered Business
ULTIMATE EJS FUEL STATION AND GENERAL MERCHANDISE,Sala,Retail Stores,Convenience Stores
GEOFOODS SERVICES INC.,Pulo,Food Services,Restaurant
MDGALLARDO ENTERPRISE,Mamatid,Retail Stores,Food and Beverage
GRM HOME STYLE COOKING INC.,Diezmo,Food Services,Canteen
AR.BLACS RESIDENTIAL BUILDING CONSTRUCTION,San Isidro,Construction and Real Estate,Service Contractor
VITALI WATER REFILLING STATION,San Isidro,Retail Stores,Water Supply
GGAZ MOBILITY INC. (SHELL GAS STATION),Bigaa,Retail Stores,Convenience Stores
GUPTA FURNITURE TRADING,San Isidro,Retail Stores,Furniture and Home Decor
"GOOD WORKERS TRANSFORMATION CENTER, INC.",Sala,Educational Services,Training Center
JCRG ENGINEERING CONSULTANCY SERVICES,Pulo,Professional Services,Consultancy and Management Services
GRM HOME STYLE COOKING INC.,Diezmo,Food Services,Food Concessionaire
GOMZ FOOD PRODUCTS TRADING,Mamatid,Retail Stores,Food and Beverage
REYMAR MINIMART,Banaybanay,Retail Stores,Convenience Stores
JHAR LPG STORE,San Isidro,Retail Stores,Fuel and Energy Supplies
GOMAGS CAR CARE CENTER CORP. (DUNLOP),Pulo,Automotive Services,Car Wash and Detailing
SOUTHPOINT AUTO CARE CENTER (RAPIDE),Banaybanay,Automotive Services,Auto Repair Services
PAMMATI DELIVERY SERVICES,Banlic,Transportation and Logistics,Delivery Services
ANTONIO LOT LEASING,Bigaa,Construction and Real Estate,Lot Rental
MARVS`GHA SUSHI FOOD STALL,Poblacion Tres,Food Services,Food Stand
JOSHUA GUILLERMO CONSUMER GOODS TRADING,Poblacion Dos,Retail Stores,General Merchandise
TONGIE SARI-SARI STORE,Banlic,Retail Stores,Sari-sari store
MARCELA`S CONSUMER GOODS TRADING,Banlic,Retail Stores,Food and Beverage
JEFFREN EATERY,Banlic,Food Services,Eatery
T2G2 CONSTRUCTION SERVICES,Casile,Construction and Real Estate,Construction Services
XYM CLOTHING SHOP,Banaybanay,Retail Stores,Clothing and Apparel
`PRINCE RICH` SARI-SARI STORE,Pulo,Retail Stores,Sari-sari store
EDITH`S SARI-SARI STORE,Mamatid,Retail Stores,Sari-sari store
MAC.G COFFEE SHOP (CALLE CO),Banaybanay,Food Services,Coffee Shop
"NUTRI-ASIA, INC. (UFC PHILIPPINES)",Diezmo,Manufacturing and Production,Essential Manufacturer
HAIN`S TRADING & GENERAL SERVICES,Niugan,Food Services,Restaurant
HIMPISAO FEEDS & AGRI SUPPLY,Banlic,Retail Stores,General Merchandise
BELL WATER STATION,Banlic,Retail Stores,Water Supply
"AMERICAN DENTAL PRODUCTS, INC.",Banaybanay,Wholesale and Distribution,Medical and Health Supplies
"HRD SPECIALTY CLINIC AND DIAGNOSTIC SERVICES, INC.",Banlic,Healthcare Services,Diagnostic and Medical Clinics
B. HEMEDEZ NEWSTAND & MAGAZINE STAND,Poblacion Dos,Retail Stores,Specialty Stores
MHAPINAT RICE STORE,Poblacion Dos,Retail Stores,Food and Beverage
VILLARICA PAWNSHOP (BRGY. 1-BRANCH ),Poblacion Uno,Finance and Insurance,Pawnshop & Financial Services
VILLARICA PAWNSHOP ( BANLIC-BRANCH ),Banlic,Finance and Insurance,Pawnshop & Financial Services
SURI PEST MANAGEMENT SERVICES,Niugan,Personal and Household Services,Pest Control
SURI PALLET MAKING & WOODWORKS,Niugan,Manufacturing and Production,Non-Essential Manufacturer
ADTEK TRUCKING INC.,Banlic,Transportation and Logistics,Hauling Services
TRIPLE H COMMERCIAL,Poblacion Uno,Construction and Real Estate,Lessor (Commercial Space)
THE GENERICS PHARMACY,Banaybanay,Healthcare Services,Pharmacies
QUALITY LABOR SERVICE COOPERATIVE (QLSC),Sala,Cooperative Business,Cooperative
JOSH&HANN PHARMACY (THE GENERICS PHARMACY),Pulo,Healthcare Services,Pharmacies
"HOLY ROSARY OF CABUYAO HOSPITAL, INC.",Sala,Healthcare Services,Hospital
HIMPISAO MEAT SHOP,Banlic,Retail Stores,Food and Beverage
WASTE CARE JUNKSHOP,Sala,Wholesale and Distribution,Junk Shops
"HIZON TRUCKING LOGISTICS, INC.",Sala,Transportation and Logistics,Trucking / Transport Services
HIMPISAO BUILDING,Mamatid,Construction and Real Estate,Lessor (Commercial Space)
"HOSANNA TECHNOLOGICAL SCHOOL OF ARTS AND SCIENCES, INC.",Butong,Educational Services,Private School
RCH.ENTERPRISES SCRAP METAL WHOLESALING,San Isidro,Wholesale and Distribution,Junk Shops
CARMELITA A. HABAL ENTERPRISES,Bigaa,Construction and Real Estate,Lessor (Commercial Space)
YUNA FUEL,Banaybanay,Automotive Services,Fuel Services
HURT AJ FABRICATION ENTERPRISES AND CONSTRUCTION COMPANY,San Isidro,Manufacturing and Production,Fabrication Services
JVH ARCADE,Banlic,Construction and Real Estate,Lessor (Commercial Space)
E.G. HERCE ENTERPRISES,Banlic,Transportation and Logistics,Trucking / Transport Services
MARY GRACE H. HAIN TRADING,Niugan,Retail Stores,General Merchandise
MARILYN A. HERNANDEZ ANIMAL BITE CLINIC,Sala,Healthcare Services,Animal Bite Clinics
MIKNIAH GASOLINE STATION,Banaybanay,Automotive Services,Fuel Services
CHEATDAY FOOD TRUCK,Banaybanay,Food Services,Food Stand
AKA ENTERPRISE,Sala,Transportation and Logistics,Trucking / Transport Services
A.C. AUDIOFORCE LIGHTS AND SOUNDS RENTAL,Mamatid,Entertainment and Recreation,Sound & Light Rental
MIKNIAH GASOLINE STATION,Casile,Automotive Services,Fuel Services
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Niugan,Retail Stores,Grocery and Supermarkets
CHUBIBO FOOD SERVICES,Pulo,Food Services,Food Stand
EMMYN JADE TRUCKING SERVICES,Banlic,Transportation and Logistics,Trucking / Transport Services
DREAMJS TRAVEL SERVICES,Sala,Tourism and Hospitality,Travel Agency
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",San Isidro,Retail Stores,Grocery and Supermarkets
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Marinig,Retail Stores,Grocery and Supermarkets
HDEC-DONGAH JOINT VENTURE,Niugan,Manufacturing and Production,Contractor and Service Manufacturing
EPHRAIM PROPERTY RENTAL,Bigaa,Construction and Real Estate,Lessor (Commercial Space)
NLA LPG CENTER,Banaybanay,Retail Stores,Fuel and Energy Supplies
EATS-A-RAP FOOD HUB,Mamatid,Retail Stores,Food and Beverage
RODERICK LPG STORE,Diezmo,Retail Stores,Fuel and Energy Supplies
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Bigaa,Retail Stores,Grocery and Supermarkets
JUSKIE`S BURGER STAND,Poblacion Dos,Food Services,Burger Stand
HERCE`S COMMERCIAL BUILDING,Banlic,Construction and Real Estate,Lessor (Commercial Space)
"HARD DISCOUNT PHILIPPINES, INC. (DALI STORE)",Bigaa,Retail Stores,Grocery and Supermarkets
3R & E FOOD AND BEVERAGE KIOSK (POTATO CORNER),Banlic,Food Services,Food Stand
"HYUNDAI ENGINEERING & CONSTRUCTION CO., LTD.",Niugan,Wholesale and Distribution,Industrial and Construction Supplies
IRIS DEVELOPMENT CORPORATION,Diezmo,Construction and Real Estate,Lessor (Excluding Subd. Operators/Lessors)
INSTITUTE FOR FOUNDATIONAL LEARNING INC.,San Isidro,Educational Services,Private School
"IONICS EMS, INC.",Diezmo,Manufacturing and Production,PEZA Registered Business
MOTHER EARTH TRAVEL AND TOURS,Pulo,Tourism and Hospitality,Travel Agency
INFANT JESUS MONTESSORI CENTER INC.  - (  BRANCH 2 ),Mamatid,Educational Services,Private School
ISPL EMPLOYEES MULTI-PURPOSE COOPERATIVE,Diezmo,Cooperative Business,Cooperative
MABUHAY BOTICA NG BARANGAY PHARMACY CO.,Baclaran,Healthcare Services,Pharmacies
ITHACA INC.,Diezmo,Manufacturing and Production,PEZA Registered Business
ISMARO FAST MOVERS CORP.,Sala,Transportation and Logistics,Trucking / Transport Services
ISLAND AIR PRODUCTS CORPORATION,San Isidro,Retail Stores,Fuel and Energy Supplies
INLAND CORPORATION,Pulo,Transportation and Logistics,Trucking / Transport Services
ML ITABLE REALTY,Mamatid,Construction and Real Estate,Construction Services
"ICONSTRUCTORS AND DEVELOPERS, INC.",Pulo,Construction and Real Estate,General Contractor
"INFARMCO FOUNDATION, INC.",San Isidro,Professional Services,Organizations
KJND DELIVERY SERVICES,Mamatid,Transportation and Logistics,Service Contractor
IÑIGO & BIANCA CORPORATION,Banaybanay,Wholesale and Distribution,Essential / Non Essential
J. ICALLA RICE STORE,Niugan,Retail Stores,Food and Beverage
"IONICS PRODUCTS SOLUTIONS, INC.",Diezmo,Wholesale and Distribution,Electronics Products
INTAC SYSTEM SOLUTIONS CORP.,San Isidro,Wholesale and Distribution,Trading
SCNR POULTRY SUPPLY,Baclaran,Retail Stores,Specialty Stores
IFL INTEGRATED COMMUNITY DEVELOPMENT MINISTRIES INC.,San Isidro,Professional Services,Organizations
"INKMAKER, INC.",Diezmo,Manufacturing and Production,Specialty Manufacturing
SANBMI LAUNDRY SERVICES,Banlic,Personal and Household Services,Laundry Shops
MUSCLECONTROL GYM,Pulo,Personal Care Services,Fitness Gym
TONNY WATERSY WATER REFILLING STATION,Mamatid,Retail Stores,Water Supply
R.P.JOSON FREIGHT SERVICES,Banaybanay,Transportation and Logistics,Trucking / Transport Services
ASJ MEDICAL & DIAGNOSTIC CLINIC,Pulo,Healthcare Services,Diagnostic and Medical Clinics
M. LHUILLIER PAWNSHOP & JEWELRY and ML KWARTA PADALA,Banlic,Finance and Insurance,Money Remittance / Bills Payment
M. LHUILLIER PAWNSHOP & JEWELRY and ML KWARTA PADALA,Banlic,Finance and Insurance,Pawnshop & Financial Services
AQUA JARDELEZA PURIFIED DRINKING WATER,Banlic,Retail Stores,Water Supply
ONIL TILES CENTER,Sala,Retail Stores,Furniture and Home Decor
JOSHUA- KYLA TRADING,Mamatid,Retail Stores,Specialty Stores
PANGGA MARKETING,Pulo,Transportation and Logistics,Trucking / Transport Services
SEVENLANDS REALTY AND MARKETING SERVICES,Banlic,Construction and Real Estate,Realty
STAR HARVEST RICE TRADER,Banaybanay,Retail Stores,Food and Beverage
BILLY TUBE ICE CORPORATION,Banlic,Retail Stores,Specialty Stores
"JOSELLE HAULING, SHUTTLE AND DELIVERY SERVICES",Sala,Transportation and Logistics,Trucking / Transport Services
"JNL JUNERIC TRADING, INC.",Banaybanay,Retail Stores,General Merchandise
JASELM PLASTIC TRADING,Sala,Retail Stores,Specialty Stores
MACJIM ENTERPRISES,Pulo,Retail Stores,School and Office Supplies
SEAN JHON WATER STATION,Banlic,Retail Stores,Water Supply
"JARE ENTERPRISES, INC.",Sala,Retail Stores,Vehicle and Parts Supplies
JEDISTAR REALTY AND LEASING CORPORATION,San Isidro,Construction and Real Estate,Lessor (Commercial Space)
JTB LUCKY BOUTIQUE AND MARKETING CORPORATION,Banlic,Retail Stores,Clothing and Apparel
SACHLOSHA VENTURES (7-ELEVEN),Pulo,Retail Stores,Convenience Stores
JOBCREST MANAGEMENT INC.,Pulo,Professional Services,Contracting and Manpower Services
TAGALOG TRADING AND CONSTRUCTION,San Isidro,Construction and Real Estate,Service Contractor
JOSHUA-KYLA TRADING,Banaybanay,Retail Stores,Specialty Stores
JUMBOLITO`S FOOD PRODUCTS INC. (DON BENITO`S CASSAVA CAKE),Poblacion Tres,Retail Stores,Food and Beverage
JUMBOLITO`S FOOD PRODUCTS INC. (DON BENITO`S CASSAVA CAKE),Banaybanay,Retail Stores,Food and Beverage
LUVICON FASHION HOUSE OPC,Banaybanay,Manufacturing and Production,Garment Manufacturer
DONMER LPG TRADING,San Isidro,Retail Stores,Fuel and Energy Supplies
JUNKMAN RECYCLING CENTER INCORPORATED,San Isidro,Wholesale and Distribution,Recycle Materials
PMP PAIN CENTER CORPORATION,Sala,Healthcare Services,Rehabilitation Centers
MONDIJAR COMMERCIAL LOT AND BUILDING RENTAL,Niugan,Construction and Real Estate,Lessor (Commercial Space)
VET REFURBLIC ANIMAL CLINIC,Banlic,Healthcare Services,Veterinary Clinics
CAKES&CRUMBS BAKESHOP,Poblacion Tres,Retail Stores,Food and Beverage
JA RIN PROPERTY INCORPORATED,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
RGJ FOOD HUB (TAKOYATEA BY JOEL CRUZ),Pulo,Food Services,Restaurant
JIMENEZ LPG STORE,Bigaa,Retail Stores,Fuel and Energy Supplies
JOELEN`S LENDING SERVICES CORPORATION,Niugan,Finance and Insurance,Lending Investor
DR-A HEALTH AND BEAUTY PRODUCTS SHOP,Mamatid,Retail Stores,Health and Personal Care
3 J`S CONSUMER GOODS STORE,Pulo,Retail Stores,Food and Beverage
KABABAIHAN KAIBIGAN NG BIGAA MULTI-PURPOSE COOPERATIVE (KABIG MPC),Bigaa,Cooperative Business,Cooperative
M.J. KIM TRADING (BRANCH),Niugan,Retail Stores,Vehicle and Parts Supplies
KALBASA CORP.,Diezmo,Wholesale and Distribution,Trading
KOSCA BUILDING RENTAL,Banlic,Construction and Real Estate,Lessor (Commercial Space)
KETTLE FOODS CORPORATION,Banlic,Retail Stores,General Merchandise
"KATECS PHILIPPINES, INC.",Diezmo,Manufacturing and Production,PEZA Registered Business
KAREILA MANAGEMENT CORPORATION,Diezmo,Transportation and Logistics,Warehouse and Storage Services
KANBAN AUTOPARTS INC.,Sala,Retail Stores,Vehicle and Parts Supplies
LAKESIDE AND KIM`S REALTY SERVICES,Banaybanay,Construction and Real Estate,Lessor (Commercial Space)
KING A`S TOOLMASTER AND INDL. CORP.,Banaybanay,Manufacturing and Production,Fabrication Services
KO3 ENTERPRISE INC.,Mamatid,Manufacturing and Production,Fabrication Services
KIMGOLDWIN TRADING CORPORATION,Banaybanay,Wholesale and Distribution,Fuel and Energy Supplies
KING & QUINN`S PLACE OPC (REYES HAIRCUTTERS),Banlic,Personal Care Services,Beauty Parlor
KOREA DEVELOPMENT SERVICE GLOBAL INC.,Diezmo,Construction and Real Estate,Construction Services
LEXONIC HARDWARE & CONSTRUCTION SUPPLIES,San Isidro,Retail Stores,Hardware and Construction Supplies
GLORIOUS PAINT CENTER & GEN. MERCHANDISE,Pulo,Retail Stores,Furniture and Home Decor
LISP-I LOCATORS ASSOCIATION INC.,Diezmo,Professional Services,Organizations
LICEO DE MAMATID,Mamatid,Educational Services,Private School
ELL ACCOUNTING FIRM,Bigaa,Professional Services,Accounting Agencies
TREASURE ROCK MOVER ENTERPRISES,Pulo,Transportation and Logistics,Hauling Services
MARK LIWANAG RICE DEALER,Poblacion Dos,Retail Stores,Food and Beverage
LICEO DE CABUYAO,Poblacion Uno,Educational Services,Private School
GHEIAN`S STORE,Mamatid,Retail Stores,Sari-sari store
LAZO SARI-SARI STORE,Bigaa,Retail Stores,Sari-sari store
V. LEBRILLA FIREWORKS,Bigaa,Retail Stores,Specialty Stores
LOSCAM (PHILIPPINES) INC.,Diezmo,Transportation and Logistics,Warehouse and Storage Services
YUPYUP FOOD HOUSE,Poblacion Uno,Food Services,Eatery
"WOODHILL INTEGRATED SCHOOL, INC.",San Isidro,Educational Services,Learning Center
"LBC EXPRESS, INC. - BANLIC BRANCH",Banlic,Transportation and Logistics,Forwarder
DAVID & JACKIE JUNKSHOP,Marinig,Wholesale and Distribution,Junk Shops
LIVING STONE LENDING INVESTOR INC.,Niugan,Finance and Insurance,Lending Investor
SALON DE STA. ROSA ATBP...,Banlic,Personal Care Services,Beauty Parlor
M. LHUILLIER PAWNSHOP & JEWELRY/ ML KWARTA PADALA,Banaybanay,Finance and Insurance,Pawnshop & Financial Services
LOLALEY ENTERPRISES,Banlic,Retail Stores,Health and Personal Care
RC LANDICHO STORE,Poblacion Dos,Retail Stores,Sari-sari store
JNA GASOLINE STATION,Bigaa,Automotive Services,Fuel Services
GLC FORWARDER,Banlic,Transportation and Logistics,Forwarder
LARSONS AND DAUGH SURVEYORS CORPORATION,Banlic,Professional Services,Engineering and Technical Services
EMMA DRESSED CHICKEN STORE,Banlic,Retail Stores,Food and Beverage
AMBO PUR PURIFIED DRINKING WATER REFILLING STATION,Banlic,Retail Stores,Water Supply
"LA VECINA AT DOS RIOS HOMEOWNERS ASSOCIATION, INC.",Pittland,Professional Services,Organizations
MAFLEX MARKETING AND INDUSTRIAL CENTER,Banaybanay,Manufacturing and Production,Industrial Equipment Services
"LINDA HOLDINGS, INC.",Diezmo,Finance and Insurance,Holding Company
JNA GASOLINE STATION,Mamatid,Automotive Services,Fuel Services
CYRUZKEN FRUIT STAND,Poblacion Dos,Retail Stores,Food and Beverage
LUZ AND GUILLER GASOLINE STATION,Mamatid,Automotive Services,Fuel Services
KYE FOOD HUB,Pulo,Food Services,Food Stand
"LIFEBANK MICROFINANCE FOUNDATION, INC.",Sala,Finance and Insurance,Financing Institutions
KLAIRE PRINTING SERVICES,Niugan,Creative and Media Services,Printing Services
"LBC EXPRESS, INC. (WALTERMART - BANLIC)",Banlic,Transportation and Logistics,Common Courier
TWINTIGERS VENTURES INC.,Banaybanay,Transportation and Logistics,Trucking / Transport Services
BOOGUEL`S HARDWARE,Casile,Retail Stores,Hardware and Construction Supplies
"LBC EXPRESS, INC. (CENTROMALL - PULO)",Pulo,Finance and Insurance,Money Remittance / Bills Payment
